x	y	z	
1.855574509224479129e+01 -1.060701784437395112e+01 1.570670335393683814e+01
1.812658652093537626e+01 -1.130545465937348482e+01 1.601277440311862321e+01
1.767040323425758430e+01 -1.202594399981999906e+01 1.640854573456363497e+01
1.718920330712918343e+01 -1.276210923287641741e+01 1.689868719127203178e+01
1.668391533514384761e+01 -1.350318036389517040e+01 1.749476905460008069e+01
1.615609737971761106e+01 -1.423571718885245119e+01 1.820758322578070931e+01
1.560896794001017618e+01 -1.494394930358119389e+01 1.904383210166630391e+01
1.504740595292267891e+01 -1.560977610377420000e+01 2.000612857473176120e+01
1.447795079309876165e+01 -1.621276678498245971e+01 2.109299603307334792e+01
1.390880227292583626e+01 -1.673016034261397778e+01 2.229886836040600429e+01
1.334982064253264156e+01 -1.713686557193639715e+01 2.361408993606797324e+01
1.281252658979087045e+01 -1.740546106807519777e+01 2.502491563501780192e+01
1.230832640220899243e+01 -1.750836388005143007e+01 2.651502405421387465e+01
1.184932406646080416e+01 -1.742607089932960562e+01 2.805373154411563519e+01
1.145228003735878630e+01 -1.714512497253945256e+01 2.959541991429023966e+01
1.113164599297255464e+01 -1.666008465860626941e+01 3.109690612645178476e+01
1.089931180942405931e+01 -1.597367213626354143e+01 3.251790294465168074e+01
1.076460556088818876e+01 -1.509677320405505085e+01 3.382101893527467240e+01
1.073429351959176614e+01 -1.404843728033193173e+01 3.497175846704491420e+01
1.081258015581437348e+01 -1.285587740325358297e+01 3.593852171102248860e+01
1.100204716673290051e+01 -1.155728813898179119e+01 3.668910594415367399e+01
1.129996184748375221e+01 -1.020444560573786319e+01 3.720804144402633540e+01
1.169773048171021657e+01 -8.844993063691909185e+00 3.750072402926011250e+01
1.218490164117458896e+01 -7.519480977958942880e+00 3.757741934106493176e+01
1.274920143698633268e+01 -6.261388364610767532e+00 3.745312144193822235e+01
1.337653351960417325e+01 -5.097122790670278292e+00 3.714755281566520750e+01
1.405097907883525998e+01 -4.046020374114586815e+00 3.668516436731818686e+01
1.475481067652685141e+01 -3.120347905706618352e+00 3.609514563149957667e+01
1.547241436317761121e+01 -2.325295427162607176e+00 3.541102880531302333e+01
1.619111237374816525e+01 -1.658848902842560369e+00 3.465955757032940454e+01
1.689875351830277239e+01 -1.115035406122173001e+00 3.386197942962908058e+01
1.758518724894917185e+01 -6.848448985512107789e-01 3.303683450852542336e+01
1.824226365984161191e+01 -3.562302298512012300e-01 3.219995555456140579e+01
1.886383348717926367e+01 -1.141071379169158462e-01 3.136446793751126449e+01
1.944572151018490302e+01 5.819419854328344854e-02 3.054014279057830805e+01
1.998555167405329414e+01 1.700905007435879468e-01 2.973043435835383974e+01
2.048228087343891701e+01 2.318492128534564434e-01 2.893841979070998605e+01
2.093568927699245208e+01 2.532308724604005468e-01 2.816644936691254841e+01
2.134634838886517727e+01 2.427624728653238195e-01 2.741579839466111679e+01
2.171561927066146680e+01 2.077368187640616926e-01 2.668667867136428029e+01
2.204548808692882034e+01 1.541281277949419215e-01 2.597884464448010178e+01
2.233819299733259456e+01 8.668383381745897731e-02 2.529184991972235963e+01
2.259609810950174946e+01 9.300676589736767141e-03 2.462505798198524332e+01
2.282167591520082084e+01 -7.493449236090540810e-02 2.397777780468506847e+01
2.301750729032920262e+01 -1.637447097378317007e-01 2.334926384976181879e+01
2.318627810158906755e+01 -2.555920318007151026e-01 2.273874676876928547e+01
2.333030190058495990e+01 -3.493352643122571433e-01 2.214556139741711860e+01
2.345155863486073500e+01 -4.441824549682946710e-01 2.156910381163394419e+01
2.355199679877994967e+01 -5.396921938658223450e-01 2.100881322700741194e+01
2.363353610726441190e+01 -6.357729556117495129e-01 2.046417222865154528e+01
2.369806749579461069e+01 -7.326830993233079958e-01 1.993470677120437529e+01
2.374743401628751371e+01 -8.310144560401346858e-01 1.941999030077666433e+01
2.378295870618099883e+01 -9.313049954550609577e-01 1.891969280403240461e+01
2.380547506223035370e+01 -1.034001442024226947e+00 1.843352103939232123e+01
2.381577560054589426e+01 -1.139725576819916597e+00 1.796121378782471112e+01
2.381462152180314362e+01 -1.249272967789829769e+00 1.750255077491680566e+01
2.380274271124285690e+01 -1.363612969756767601e+00 1.705735267087607099e+01
2.378083773867099637e+01 -1.483888724419100136e+00 1.662548109052827172e+01
2.374951654316505767e+01 -1.611377162574583854e+00 1.620684987339024019e+01
2.370883234938011341e+01 -1.747116036108737225e+00 1.580145457288716315e+01
