x	z
-3.709667446735408713e+00 1.527152526039930081e+01
-3.933806257185817667e+00 1.509840730133102582e+01
-4.179111335746410916e+00 1.496146219423498636e+01
-4.446649045336268813e+00 1.486474222810231716e+01
-4.737478045512125036e+00 1.481294734370372090e+01
-5.052649292468270659e+00 1.481142513358949842e+01
-5.393206039036662958e+00 1.486617084208953266e+01
-5.760183834686804616e+00 1.498382736531328163e+01
-6.154549456705038502e+00 1.517155832119019543e+01
-6.576014653448089220e+00 1.543525257818256335e+01
-7.025336918236252615e+00 1.578547141746130933e+01
-7.502901912869747392e+00 1.623317895015912171e+01
-8.007871242014765301e+00 1.678772046199229351e+01
-8.538182453203633671e+00 1.745682241326087336e+01
-9.090549036834641328e+00 1.824659243884849857e+01
-9.660460426172225112e+00 1.916151934822259406e+01
-1.024218199734677270e+01 2.020447312543412366e+01
-1.082875506935482690e+01 2.137670492911789566e+01
-1.141250108353608361e+01 2.267627637736037371e+01
-1.198260598204879734e+01 2.408886184513760398e+01
-1.252535847702619343e+01 2.559182933948311955e+01
-1.302701523559434627e+01 2.715767933952695756e+01
-1.347383057467464340e+01 2.875405292724353146e+01
-1.385205646098395604e+01 3.034373178745221367e+01
-1.414794251103447920e+01 3.188463820781674940e+01
-1.434773599113387199e+01 3.332983507884582508e+01
-1.443965628724554939e+01 3.462566500700089733e+01
-1.441817117962105854e+01 3.573046151635004009e+01
-1.428053585520382640e+01 3.662324964009729911e+01
-1.402804566261118602e+01 3.729038685762144212e+01
-1.366608429203657771e+01 3.772537193452041038e+01
-1.320412377524947267e+01 3.792884492261157448e+01
-1.265572448559549201e+01 3.790858715993154249e+01
-1.203853513799624508e+01 3.767952127073628077e+01
-1.136930772194777362e+01 3.726956153390385396e+01
-1.065938353354552603e+01 3.671780461389585071e+01
-9.925880501372535747e+00 3.605277472638961456e+01
-9.184211659963843033e+00 3.530180444001451434e+01
-8.447861801099334045e+00 3.449132735170839226e+01
-7.728387473804028573e+00 3.364687808671780545e+01
-7.035439712844078208e+00 3.279222365760888636e+01
-6.376476408321218869e+00 3.193697608729534210e+01
-5.756165219035572100e+00 3.108810441459366913e+01
-5.177791421929814675e+00 3.025257347658126150e+01
-4.643472183165400224e+00 2.943539600891687513e+01
-4.154156558122766185e+00 2.863963264584093338e+01
-3.709625491401137065e+00 2.786639192017522859e+01
-3.308502989551076467e+00 2.711565677368686167e+01
-2.948730563374198255e+00 2.638757935506238184e+01
-2.628073551754423143e+00 2.568158999748705185e+01
-2.344114741439011773e+00 2.499700252341909490e+01
-2.094253964852143213e+00 2.433302175801759049e+01
-1.875708100067454698e+00 2.368874352916887815e+01
-1.685607570218604634e+00 2.306324176087224131e+01
-1.521507383991362872e+00 2.245573690636550523e+01
-1.381151535577858080e+00 2.186549982199316489e+01
-1.262320878516157485e+00 2.129185042572736819e+01
-1.162833125690319491e+00 2.073415769716812918e+01
-1.080542849330350608e+00 2.019183967754311482e+01
-1.013525519366073047e+00 1.966438486714736555e+01
-9.604686155504513767e-01 1.915137074556100671e+01
-9.201723198873617005e-01 1.865239947391822639e+01
-8.914964391412651956e-01 1.816710276035232496e+01
-8.733612905512670999e-01 1.769514201698963873e+01
-8.647477018311260366e-01 1.723620835994968559e+01
-8.648228689777929246e-01 1.679003915455042772e+01
-8.731968659569195879e-01 1.635640465274336819e+01
-8.895852415568586968e-01 1.593509505485370426e+01
-9.137388390405117855e-01 1.552593827678873595e+01
-9.454437981450060091e-01 1.512879995114083798e+01
-9.845215550816854844e-01 1.474358342718761072e+01
-1.030833945776520988e+00 1.437023159069829781e+01
-1.084529274510366736e+00 1.400876680971306598e+01
-1.145966181456938404e+00 1.365920629866463187e+01
-1.215531976392211222e+00 1.332163859183150834e+01
-1.293683966247435757e+00 1.299626253915541341e+01
-1.380949455109112156e+00 1.268338730624138933e+01
-1.477925744219018345e+00 1.238343237435767819e+01
-1.585280131974179163e+00 1.209692754043584451e+01
-1.703791753857037516e+00 1.182458173810464785e+01
-1.834682282820025545e+00 1.156765163374687333e+01
-1.978921482880684923e+00 1.132675960400770698e+01
-2.137531344030946023e+00 1.110284190649036162e+01
-2.311712557032747029e+00 1.089740227859490673e+01
-2.502844513417978867e+00 1.071251193751834130e+01
-2.712485305488537612e+00 1.055080958025454052e+01
-2.942371726316302727e+00 1.041550138359427535e+01
-3.194419269743105971e+00 1.031036100412523027e+01
-3.470722130380803350e+00 1.023972957823196950e+01
-3.773553203611185403e+00 1.020851572209596902e+01
-4.105252047031107132e+00 1.022223314770873692e+01
-4.466707313401817814e+00 1.028807531750055126e+01
-4.860883721989599948e+00 1.041467864154350842e+01
-5.290981655788891125e+00 1.061177305074786581e+01
-5.759437294084838399e+00 1.089034725568750162e+01
-6.267922612453149078e+00 1.126264874659984017e+01
-6.817345382760253258e+00 1.174218379338594964e+01
-7.407849173163125300e+00 1.234371744561041595e+01
-8.038813348109481893e+00 1.308327353250150793e+01
-8.708853068337564451e+00 1.397813466295096774e+01
-9.415819290876370928e+00 1.504684222551426842e+01
-1.015678196361787045e+01 1.630912550467278166e+01
-1.092415796840623088e+01 1.777248299590034364e+01
-1.170643875833483349e+01 1.944026740392754249e+01
-1.249053792865476176e+01 2.131053372153466086e+01
-1.326001915612518012e+01 2.336605185860823752e+01
-1.399509619901360580e+01 2.557430664214173532e+01
-1.467263289709564589e+01 2.788749781623481994e+01
-1.526614317165525136e+01 3.024254004209412727e+01
-1.575190447653049830e+01 3.256913713117187825e+01
-1.610521862189165176e+01 3.477181857457395608e+01
-1.630161353814660785e+01 3.675329358010372971e+01
-1.632577695866540424e+01 3.843871585458041551e+01
-1.617155964235714549e+01 3.977569021916712444e+01
-1.584197537366999597e+01 4.073427260937023675e+01
-1.534920096259110878e+01 4.130697007503987095e+01
-1.470676509814623145e+01 4.150312097935373856e+01
-1.393007219331656366e+01 4.134805231965003713e+01
-1.304724387316062106e+01 4.088595679419241691e+01
-1.208599187144397291e+01 4.016892571720551075e+01
-1.107346424857076528e+01 3.925683395341467730e+01
-1.003624539158338536e+01 3.821733991804580199e+01
-9.000254438667301571e+00 3.712409073831270234e+01
-7.986599160596167479e+00 3.601043692729726331e+01
-7.010128784984173578e+00 3.489529896014966681e+01
-6.082555342519779806e+00 3.379996506519866273e+01
-5.212393559245587227e+00 3.273958090329161763e+01
-4.404960856558038707e+00 3.172314956779411688e+01
-3.662419137780879463e+00 3.075367744163768791e+01
-2.984513102402382767e+00 2.983145444845250083e+01
-2.368962499983270131e+00 2.895476322204056530e+01
-1.812723488045989928e+00 2.812110787055593519e+01
-1.312267343002869069e+00 2.732784596853600334e+01
-8.635804601562813154e-01 2.657218855690175729e+01
-4.621643536983857103e-01 2.585120014295737434e+01
-1.029942584647293435e-01 2.516183168781139656e+01
2.190220402641871456e-01 2.450154841730584110e+01
5.080406992039548930e-01 2.386846137327079731e+01
7.681397074447366968e-01 2.326090719378363403e+01
1.003420512167028766e+00 2.267743350585287487e+01
1.218008018641557388e+00 2.211679892541839720e+01
1.416050590229322115e+00 2.157797305735136106e+01
1.601432832652395888e+00 2.106021518641119883e+01
1.776806927098376843e+00 2.056327640312059302e+01
1.944597412852889562e+00 2.008707851464182070e+01
2.107279062041629736e+00 1.963165748993090887e+01
2.267373566713404731e+00 1.919716470010342846e+01
2.427449538840223298e+00 1.878386691843423506e+01
2.590119489722623403e+00 1.839214994251098290e+01
2.757577166470834840e+00 1.802277320009437389e+01
2.931224434389620992e+00 1.767683388840236702e+01
3.112500460109948186e+00 1.735563485726398980e+01
3.302970310170384671e+00 1.706075056696958470e+01
3.504324951017130818e+00 1.679402708827073809e+01
3.718381249003949840e+00 1.655758210238037620e+01
3.947081970392271266e+00 1.635380490097261585e+01
4.192355313097754888e+00 1.618539145944744462e+01
4.455379873502043786e+00 1.605577107096552680e+01
4.737355804569108209e+00 1.596907976467582202e+01
5.039437419576214161e+00 1.592993709629773846e+01
5.362684712365078710e+00 1.594344341831725487e+01
5.708063357341920607e+00 1.601517987998691694e+01
6.076444709477342165e+00 1.615120842732580542e+01
6.468605804306505114e+00 1.635807180311957865e+01
6.885229357929015137e+00 1.664279354692044421e+01
7.326341454024818844e+00 1.701163380054922669e+01
7.789446969662581211e+00 1.746847121570745287e+01
8.274128964328342661e+00 1.802560270884206872e+01
8.778978874381428099e+00 1.869286750233738559e+01
9.301057538825693527e+00 1.947617545006826489e+01
9.835895199309620196e+00 2.037750703740024250e+01
1.037749150012611921e+01 2.139491338118919117e+01
1.091831548821281750e+01 2.252251622978180734e+01
1.144930561315186957e+01 2.375050796301529843e+01
1.195986972717004626e+01 2.506515159221758182e+01
1.243792350827982141e+01 2.644883442207567370e+01
1.287384623899261094e+01 2.788167556882720177e+01
1.325427266199071852e+01 2.932458256353852377e+01
1.356460710856353380e+01 3.073422175801825063e+01
1.379308658472466398e+01 3.207148025778031553e+01
1.393078077121209546e+01 3.330146592204476974e+01
1.397159202348808194e+01 3.439350736373722839e+01
1.391225537173915683e+01 3.532115394948912268e+01
1.375232876136363380e+01 3.606215548357390333e+01
1.349174078237942531e+01 3.659507604401282066e+01
1.313618242530045066e+01 3.691620633261406681e+01
1.269583965764154065e+01 3.703421468515404769e+01
1.218198962991803036e+01 3.696196215154221676e+01
1.160700067564552640e+01 3.671650249582111769e+01
1.098433231134005439e+01 3.631908219616633460e+01
1.032853523651801986e+01 3.579514044488649915e+01
9.655217563149916415e+00 3.517425548793961809e+01
8.977986546300964932e+00 3.448357118243467312e+01
8.307698109642409179e+00 3.374235701400200327e+01
7.654147268478074473e+00 3.296771767026486799e+01
7.025437364557906683e+00 3.217440664420667673e+01
6.427980066078189836e+00 3.137482623417125183e+01
5.866495367681212159e+00 3.057902754386244126e+01
5.344027171128907128e+00 2.979461460735612377e+01
4.862158141154290902e+00 2.902479398597001392e+01
4.421057106647602097e+00 2.827136982589495418e+01
4.020298106921824655e+00 2.753601541302099065e+01
3.659035121974176352e+00 2.681981809328403443e+01
3.336002072486038195e+00 2.612327927266574079e+01
3.049512819823068543e+00 2.544631441719375076e+01
2.797437023671589973e+00 2.478831215075522110e+01
2.577280320024386562e+00 2.414888805582040732e+01
2.386951888207711647e+00 2.352759064595031901e+01
2.224426026764308340e+00 2.292391146917047706e+01
2.087657094850901007e+00 2.233737001107709119e+01
1.974579512238266554e+00 2.176751369483730159e+01
1.883107759311207108e+00 2.121391788118904742e+01
1.811141544488948485e+00 2.067619272213674009e+01
1.757029373673933081e+00 2.015405274291819993e+01
1.719863954674377249e+00 1.964725003762102773e+01
1.698795546903659970e+00 1.915558659980098000e+01
1.692967146268687939e+00 1.867892609119023462e+01
1.701514485169896451e+00 1.821719384169755074e+01
1.723566032501246070e+00 1.777037684940802009e+01
1.758242993650226849e+00 1.733852378058323751e+01
1.804826132978544884e+00 1.692177400682504640e+01
1.863576847658746871e+00 1.652040174928034943e+01
1.934725348375647913e+00 1.613466550648633913e+01
2.018512821861313977e+00 1.576498211274668115e+01
2.115245680118019056e+00 1.541194432553544225e+01
2.225295560418206531e+00 1.507632082549723407e+01
2.349099325304544017e+00 1.475905621644701249e+01
2.487159062589888059e+00 1.446127102537020548e+01
2.640214991440273717e+00 1.418448874521983250e+01
2.809417433956477250e+00 1.393039050284308722e+01
2.995844747910790140e+00 1.370057572029467785e+01
3.200662406540035754e+00 1.349727409931388422e+01
3.425128282416070480e+00 1.332335741724179812e+01
3.670592647445701573e+00 1.318233952702139256e+01
3.938498172870805281e+00 1.307837635719742053e+01
4.230379929268253569e+00 1.301626591191648252e+01
4.547865386549956312e+00 1.300144827092701050e+01
4.892674413962751601e+00 1.304000558957927325e+01
5.266017252680513572e+00 1.313820763634836197e+01
5.669028458033340101e+00 1.330412583236768853e+01
6.103870029872268788e+00 1.354834770683708278e+01
6.571845136789597142e+00 1.388154065000373194e+01
7.073352303884252734e+00 1.431440218322576285e+01
7.607885412762051658e+00 1.485765995897243918e+01
8.174033701535526220e+00 1.552207176082403350e+01
8.769481764824025305e+00 1.631842550347193566e+01
9.391009553753496775e+00 1.725753923271836854e+01
1.003448537416432984e+01 1.835020667263740890e+01
1.069339113232878269e+01 1.959977886130748814e+01
1.135813631283128622e+01 2.100535826881453261e+01
1.201745800782445350e+01 2.256079642907155858e+01
1.265817527470684922e+01 2.424989622362171104e+01
1.326518913612276762e+01 2.604641188163776988e+01
1.382148257996232132e+01 2.791404897992244116e+01
1.430812055936126548e+01 2.980646444290767860e+01
1.470449075588948773e+01 3.166750104738992277e+01
1.499540956971252648e+01 3.343691158292738663e+01
1.516516436555149028e+01 3.504929424936777593e+01
1.520117430827463068e+01 3.644917768035504935e+01
1.509734981316381663e+01 3.759563345316869487e+01
1.485409254591445993e+01 3.846227608872320047e+01
1.447829542263550628e+01 3.903726305156820331e+01
1.398334260984956678e+01 3.932329474988833340e+01
1.338792585757289721e+01 3.933715841339795105e+01
1.270102973651150791e+01 3.910261391836273503e+01
1.194103057213176911e+01 3.865218874145303829e+01
1.112949624974001139e+01 3.802271102653369894e+01
1.028664791751492835e+01 3.725356068024374423e+01
9.431359986507137805e+00 3.638666937199606366e+01
8.581159923553158819e+00 3.546650875455121366e+01
7.751276840800759516e+00 3.452294806366021618e+01
6.952588139684227286e+00 3.356851930237203163e+01
6.193480267870349998e+00 3.261866476457728936e+01
5.480254473408319171e+00 3.168510159524323555e+01
4.817126804729597644e+00 3.077582179041359112e+01
4.206228110648153162e+00 2.989509219720885014e+01
3.647731294945801395e+00 2.904421505534331160e+01
3.140339603504021415e+00 2.822371512883639610e+01
2.681927503640993304e+00 2.743286509142327034e+01
2.269996034123349382e+00 2.667065906389137098e+01
1.901681781531951998e+00 2.593585116843722460e+01
1.573756880262062730e+00 2.522695552866672131e+01
1.282622235101495978e+00 2.454225703277184323e+01
1.024523520675674648e+00 2.388018406245864611e+01
7.962782994720305485e-01 2.323946466775003472e+01
5.948193742755312208e-01 2.261891287202757539e+01
4.170814736279833124e-01 2.201743700523427094e+01
2.600012518280923057e-01 2.143403970387477031e+01
1.205172889313688156e-01 2.086781791101505590e+01
-4.168676598334933314e-03 2.031800354199386049e+01
-1.160218530432215733e-01 1.978402539676118721e+01
-2.168748674098074369e-01 1.926536488834111793e+01
-3.085594459390385014e-01 1.876153337259431808e+01
-3.929061981611559062e-01 1.827207218612165107e+01
-4.717446168956582753e-01 1.779655264626434885e+01
